CustomerID,Name,Age,Gender,SubscriptionType,SubscriptionDate,LastLoginDate,TotalSessions,FeedbackScore,IsChurned
CUST00094,Janet Rivera,29,Male,Yearly,2024-09-29,2025-11-25,4,5,1
CUST00095,Ananya Martin,51,Female,Yearly,2025-02-07,2026-01-03,8,10,0
CUST00096,Elizabeth Nguyen,16,Female,Quarterly,2023-07-28,2025-12-27,16,8,0
CUST00097,Sneha Baker,37,Female,Monthly,2023-03-26,2025-08-14,2,3,1
CUST00098,Gregory White,28,Male,Quarterly,2023-01-26,2025-12-15,13,8,0
CUST00099,Susan Ramirez,37,Other,Quarterly,2025-07-30,2025-12-19,12,8,0
CUST00100,Daniel Campbell,37,Female,Quarterly,2025-09-17,2025-12-09,24,8,0
CUST00101,Paul Lee,24,Female,Yearly,2023-06-27,2025-12-18,13,8,0
CUST00102,Ashley Carter,40,Male,Quarterly,2025-02-15,2025-12-15,17,7,0
CUST00103,Sneha Lee,48,Male,Monthly,2024-06-13,2025-07-02,2,5,1
CUST00104,Rachel Reddy,31,Male,Monthly,2024-01-27,2025-08-19,3,6,1
CUST00105,Gary Scott,43,Female,Quarterly,2025-10-02,2026-01-14,24,9,0
CUST00106,Barbara Jackson,34,Male,Quarterly,2024-09-19,2025-12-23,23,6,0
CUST00107,Jacob Scott,37,Female,Monthly,2024-11-08,2025-08-07,3,4,1
CUST00108,Paul Martin,40,Male,Monthly,2024-01-30,2025-07-17,1,7,1
CUST00109,Ruth Hall,22,Male,Monthly,2025-09-18,2025-09-27,0,6,1
CUST00110,Scott Jackson,42,Other,Yearly,2024-08-29,2026-01-04,22,8,0
CUST00111,Joshua Smith,33,Female,Monthly,2023-04-04,2025-12-11,10,7,0
CUST00112,Donna Hall,26,Female,Quarterly,2025-10-02,2025-11-28,6,3,1
CUST00113,Brenda Jackson,24,Male,Monthly,2024-01-13,2025-12-30,15,7,0
CUST00114,Divya Walker,27,Male,Monthly,2025-10-04,2025-10-05,1,4,1
CUST00115,Karen Martinez,36,Female,Yearly,2023-06-24,2026-01-08,13,6,0
CUST00116,Anna Carter,36,Male,Quarterly,2024-04-07,2025-12-22,6,5,0
CUST00117,Laura Iyer,26,Male,Yearly,2025-05-28,2025-12-07,16,7,0
CUST00118,Linda Flores,50,Other,Monthly,2024-03-01,2025-12-30,24,7,0
CUST00119,Gregory Garcia,33,Male,Monthly,2023-06-03,2025-08-19,0,4,1
CUST00120,Laura Hall,30,Female,Monthly,2024-04-19,2025-09-20,4,2,1
CUST00121,Rachel Verma,39,Male,Quarterly,2024-06-25,2025-12-06,30,7,0
CUST00122,Pamela Nelson,38,Female,Monthly,2023-08-24,2026-01-06,23,6,0
CUST00123,Ritu Moore,36,Female,Monthly,2023-12-06,2025-12-08,18,7,0
CUST00124,Janet Gupta,25,Female,Monthly,2023-09-12,2025-09-15,4,5,1
CUST00125,Rachel Sanchez,49,Female,Quarterly,2025-10-08,2025-12-08,25,10,0
CUST00126,Jennifer Reddy,25,Male,Monthly,2024-05-27,2025-10-04,6,4,1
CUST00127,Frank Singh,58,Female,Quarterly,2023-02-12,2025-12-29,11,6,0
CUST00128,Brenda Williams,27,Female,Monthly,2025-11-28,2025-12-29,1,6,0
CUST00129,Lisa Nguyen,25,Male,Yearly,2023-07-06,2025-12-20,19,7,0
CUST00130,Kevin Lee,54,Female,Yearly,2024-11-06,2025-12-15,25,6,0
CUST00131,Andrew Nelson,24,Female,Yearly,2023-03-17,2025-12-26,21,5,0
CUST00132,Steven Lee,54,Male,Quarterly,2025-11-19,2026-01-15,27,6,0
CUST00133,Gregory Verma,16,Female,Monthly,2024-01-20,2025-06-25,8,3,1
CUST00134,Dennis Young,47,Female,Quarterly,2024-02-21,2025-10-29,0,3,1
CUST00135,Ananya Jackson,34,Male,Quarterly,2023-09-06,2025-06-23,4,3,1
CUST00136,Nicole Patel,40,Male,Monthly,2023-01-29,2026-01-10,9,7,0
CUST00137,Mark Singh,35,Female,Monthly,2023-08-29,2026-01-06,22,8,0
CUST00138,Amy Nair,21,Female,Quarterly,2024-07-13,2025-12-16,5,9,0
CUST00139,Jacob Thomas,37,Male,Monthly,2024-01-26,2025-12-14,12,9,0
CUST00140,Janet Reddy,35,Male,Monthly,2025-04-29,2025-07-25,7,4,1
CUST00141,Paul Gupta,56,Male,Quarterly,2025-09-29,2025-12-18,32,6,0
CUST00142,Jonathan Walker,44,Male,Quarterly,2025-02-11,2025-12-26,23,9,0
CUST00143,Aditya Gonzalez,23,Other,Monthly,2025-02-23,2025-08-18,6,6,1
CUST00144,Jennifer Lee,16,Female,Quarterly,2025-02-19,2025-06-15,0,1,1
CUST00145,Rahul Gupta,31,Female,Monthly,2023-03-17,2025-07-03,6,6,1
CUST00146,Kevin Verma,34,Male,Yearly,2023-07-24,2025-12-17,31,5,0
CUST00147,Mary Campbell,16,Male,Yearly,2023-11-13,2025-09-25,3,4,1
CUST00148,Carol Flores,33,Female,Quarterly,2024-11-03,2025-12-12,1,7,0
CUST00149,Timothy Lee,19,Female,Yearly,2025-09-26,2026-01-13,23,7,0
CUST00150,Emma Jones,23,Male,Quarterly,2024-08-11,2026-01-10,13,5,0
CUST00151,Sharon Miller,33,Female,Quarterly,2023-07-25,2025-12-27,25,5,0
CUST00152,Amit Johnson,39,Male,Quarterly,2024-08-23,2025-12-19,13,6,0
CUST00153,Charles Thomas,32,Female,Quarterly,2024-01-04,2025-11-11,0,3,1
CUST00154,Brandon Verma,20,Male,Quarterly,2025-10-16,2026-01-06,33,7,0
CUST00155,Sandra Robinson,26,Female,Monthly,2023-01-20,2025-12-17,19,7,0
CUST00156,Amit Jackson,31,Female,Monthly,2025-06-23,2025-12-09,22,8,0
CUST00157,Joshua Green,28,Other,Quarterly,2025-07-24,2026-01-03,13,6,0
CUST00158,Deborah Kumar,16,Female,Monthly,2025-01-05,2025-12-28,5,9,0
CUST00159,Robert Singh,52,Female,Monthly,2023-04-11,2025-12-15,16,8,0
CUST00160,Pooja Mehta,37,Female,Quarterly,2024-04-16,2025-12-24,42,8,0
CUST00161,Mark Green,32,Male,Monthly,2023-10-08,2025-12-06,10,4,0
CUST00162,Samuel Williams,36,Male,Monthly,2025-01-17,2026-01-10,11,5,0
CUST00163,Ritu Jackson,26,Male,Monthly,2024-02-16,2025-07-16,0,7,1
CUST00164,Kavita White,43,Female,Yearly,2023-12-03,2025-12-16,17,9,0
CUST00165,Vikram Jackson,34,Female,Monthly,2023-08-24,2026-01-11,11,9,0
CUST00166,Charles Carter,39,Other,Yearly,2025-03-24,2025-12-11,9,7,0
CUST00167,George Garcia,24,Female,Monthly,2023-09-11,2025-06-12,0,5,1
CUST00168,Janet Baker,55,Male,Monthly,2025-01-30,2025-10-03,0,5,1
CUST00169,Jacob Johnson,26,Female,Yearly,2024-11-02,2026-01-01,14,6,0
CUST00170,Samuel Jones,24,Female,Monthly,2024-09-10,2026-01-08,18,6,0
CUST00171,Sarah Williams,36,Female,Monthly,2025-10-05,2025-10-14,3,3,1
CUST00172,Sarah Harris,24,Male,Quarterly,2025-05-08,2026-01-06,13,8,0
CUST00173,Sanjay Clark,39,Female,Yearly,2025-04-15,2025-12-29,10,7,0
CUST00174,John Hall,42,Male,Monthly,2024-04-28,2026-01-09,4,8,0
CUST00175,Debra White,26,Female,Yearly,2025-01-04,2025-09-22,5,2,1
CUST00176,Matthew Davis,16,Female,Yearly,2023-07-07,2025-12-06,4,7,0
CUST00177,Scott Johnson,36,Male,Monthly,2023-09-15,2026-01-02,10,8,0
CUST00178,David Singh,16,Female,Monthly,2024-03-18,2026-01-01,17,5,0
CUST00179,Kevin Roberts,26,Male,Yearly,2023-01-06,2026-01-06,18,6,0
CUST00180,Thomas Wright,29,Male,Monthly,2023-02-22,2025-09-01,7,3,1
CUST00181,Rahul Sharma,43,Male,Monthly,2023-12-23,2025-10-30,0,5,1
CUST00182,Jack Clark,49,Female,Quarterly,2025-09-02,2025-12-23,0,6,0
CUST00183,Shirley Nguyen,40,Male,Quarterly,2023-03-30,2025-12-13,16,7,0
CUST00184,Joshua Robinson,27,Female,Monthly,2025-09-07,2025-12-19,18,7,0
CUST00185,Debra Miller,46,Female,Yearly,2023-05-31,2025-12-26,20,7,0
CUST00186,Nicole Martinez,29,Male,Monthly,2024-10-27,2025-07-02,2,3,1
CUST00187,Angela Jackson,38,Male,Quarterly,2023-07-23,2026-01-08,14,7,0
CUST00188,Karan Adams,56,Female,Quarterly,2024-03-16,2026-01-01,24,6,0
CUST00189,Edward Perez,47,Female,Monthly,2023-07-14,2025-09-12,2,1,1
CUST00190,Christine Taylor,22,Male,Monthly,2025-08-29,2025-11-10,0,3,1
CUST00191,Barbara Ramirez,34,Male,Quarterly,2023-09-24,2025-12-09,31,7,0
CUST00192,Anna Scott,31,Male,Monthly,2024-12-25,2025-12-19,24,3,0
CUST00193,Aditya Iyer,36,Female,Yearly,2024-10-01,2025-12-10,24,5,0
CUST00194,Nicholas Wilson,46,Male,Monthly,2023-08-10,2025-07-12,5,3,1
CUST00195,Melissa Davis,40,Female,Quarterly,2025-05-28,2025-12-07,36,7,0
CUST00196,Brandon Baker,36,Female,Monthly,2024-07-01,2025-09-23,2,2,1
CUST00197,Rachel Carter,43,Male,Monthly,2023-01-13,2025-10-26,1,4,1
CUST00198,Larry Nelson,28,Male,Monthly,2023-03-04,2025-07-19,5,4,1
CUST00199,Margaret Harris,45,Male,Monthly,2025-01-27,2025-09-09,2,3,1
CUST00200,Maria Torres,23,Female,Yearly,2023-11-15,2025-06-26,2,4,1
CUST00201,Michael Baker,42,Male,Monthly,2025-05-18,2025-12-18,10,8,0
CUST00202,Rebecca Moore,48,Male,Quarterly,2024-12-07,2025-12-28,21,10,0
CUST00203,Frank Baker,25,Female,Quarterly,2024-09-23,2025-08-22,0,1,1
CUST00204,Scott Brown,50,Male,Monthly,2024-03-08,2025-12-30,23,7,0
CUST00205,Donna Lee,37,Male,Monthly,2025-05-31,2025-08-26,0,8,1
CUST00206,Jonathan Rivera,35,Male,Quarterly,2024-12-26,2025-11-21,4,5,1
CUST00207,Sharon Johnson,39,Male,Monthly,2024-10-03,2025-12-10,19,6,0
CUST00208,Stephanie Rivera,39,Female,Monthly,2025-04-09,2025-09-09,9,6,1
CUST00209,Nancy Patel,51,Female,Monthly,2025-01-11,2025-11-04,2,2,1
CUST00210,Ashley Ramirez,32,Female,Quarterly,2025-03-21,2025-12-25,18,8,0
CUST00211,Mark Perez,16,Female,Monthly,2023-08-22,2025-10-13,8,3,1
CUST00212,Amit Roberts,29,Male,Quarterly,2023-10-30,2025-10-25,0,1,1
CUST00213,Steven Gonzalez,43,Male,Monthly,2023-06-04,2025-06-24,4,1,1
CUST00214,Amy Robinson,19,Female,Quarterly,2025-07-08,2025-12-10,15,9,0
CUST00215,Samuel Green,31,Other,Monthly,2024-10-09,2025-11-14,0,3,1
CUST00216,Jacob Lewis,31,Female,Quarterly,2023-04-26,2026-01-11,0,7,0
CUST00217,Michelle Robinson,31,Male,Monthly,2024-08-10,2025-11-08,6,7,1
CUST00218,Brandon Hill,46,Female,Monthly,2023-03-26,2025-07-08,3,2,1
CUST00219,Katherine Gonzalez,62,Male,Monthly,2023-11-05,2025-12-18,18,7,0
CUST00220,Susan Patel,33,Female,Monthly,2023-06-22,2026-01-04,19,7,0
CUST00221,Jennifer Thomas,27,Female,Yearly,2025-12-09,2026-01-05,13,7,0
CUST00222,George White,28,Female,Monthly,2024-11-23,2026-01-12,12,7,0
CUST00223,Rahul Green,31,Female,Monthly,2023-07-13,2025-12-22,30,3,0
CUST00224,Andrew Taylor,46,Female,Quarterly,2023-11-04,2025-12-09,27,4,0
CUST00225,Gregory Martinez,30,Female,Monthly,2025-03-13,2025-11-10,2,1,1
CUST00226,Michelle Scott,25,Male,Quarterly,2023-09-19,2025-12-13,9,9,0
CUST00227,Barbara Adams,44,Female,Quarterly,2023-02-07,2026-01-04,28,8,0
CUST00228,Margaret Perez,21,Female,Monthly,2024-04-08,2026-01-06,13,8,0
CUST00229,Elizabeth Jackson,20,Female,Monthly,2025-12-14,2025-12-24,6,3,1
CUST00230,Thomas Hill,29,Male,Monthly,2023-12-06,2026-01-13,23,7,0
CUST00231,Edward White,30,Female,Monthly,2025-06-28,2025-12-18,27,5,0
CUST00232,Sandra Wright,40,Male,Yearly,2025-08-18,2026-01-03,22,6,0
CUST00233,Melissa Baker,37,Female,Yearly,2025-08-03,2025-12-22,7,8,0
CUST00234,Nicholas King,31,Male,Monthly,2024-02-13,2026-01-07,13,8,0
CUST00235,Aditya Taylor,26,Male,Monthly,2025-01-30,2026-01-09,6,4,0
CUST00236,Catherine Kumar,40,Female,Monthly,2023-06-21,2025-12-29,7,9,0
CUST00237,Laura Mehta,16,Female,Yearly,2023-07-07,2026-01-01,31,7,0
CUST00238,Neha Lewis,32,Female,Yearly,2025-04-29,2025-07-26,2,4,1
CUST00239,Melissa Thomas,33,Male,Monthly,2024-04-04,2025-11-06,7,4,1
CUST00240,Rohan Rivera,35,Female,Quarterly,2023-10-09,2025-08-03,2,4,1
CUST00241,Rachel Singh,37,Male,Quarterly,2025-07-07,2026-01-10,4,5,0
CUST00242,Robert Taylor,42,Male,Monthly,2025-12-16,2025-12-20,4,3,1
CUST00243,Joshua Davis,34,Male,Monthly,2025-07-25,2025-07-27,5,3,1
CUST00244,Scott Wright,25,Male,Quarterly,2024-05-10,2025-12-28,19,5,0
CUST00245,Jason Smith,38,Female,Monthly,2025-05-03,2025-06-13,0,6,1
CUST00246,William King,39,Other,Monthly,2025-12-13,2025-12-14,20,8,0
CUST00247,Stephen Johnson,52,Male,Monthly,2025-03-03,2025-12-30,26,4,0
CUST00248,Janet Johnson,19,Male,Monthly,2024-05-08,2025-12-06,13,7,0
CUST00249,Susan Roberts,39,Female,Quarterly,2023-10-01,2025-07-15,1,4,1
CUST00250,Carol Gupta,25,Female,Yearly,2025-08-09,2025-12-16,13,5,0
CUST00251,Benjamin Lopez,23,Female,Monthly,2025-07-26,2025-10-11,0,2,1
CUST00252,Jennifer Sharma,45,Male,Monthly,2024-09-27,2025-12-12,10,10,0
CUST00253,Jacob Taylor,39,Male,Quarterly,2024-08-08,2026-01-12,19,6,0
CUST00254,Divya Adams,41,Male,Monthly,2025-01-23,2025-08-21,2,4,1
CUST00255,Janet Lewis,62,Female,Monthly,2024-01-18,2025-12-15,17,9,0
CUST00256,Melissa Nair,26,Female,Monthly,2023-06-19,2026-01-10,17,9,0
CUST00257,Sharon Hill,27,Other,Monthly,2024-08-24,2025-11-11,9,5,1
CUST00258,Dorothy Nelson,27,Male,Monthly,2025-05-22,2025-08-10,5,5,1
CUST00259,Brian Lewis,40,Male,Yearly,2024-12-23,2025-12-19,5,6,0
CUST00260,Emily Green,31,Other,Yearly,2023-06-03,2025-12-21,17,8,0
CUST00261,George Allen,35,Female,Quarterly,2023-03-05,2025-06-29,0,4,1
CUST00262,Frank Sharma,40,Male,Monthly,2024-04-28,2025-12-23,22,8,0
CUST00263,George Harris,43,Female,Monthly,2023-11-11,2025-12-23,21,7,0
CUST00264,Melissa Lewis,16,Female,Quarterly,2025-12-20,2025-12-25,5,4,1
CUST00265,Ashley Davis,36,Male,Monthly,2025-11-26,2025-11-28,0,2,1
CUST00266,Kimberly Roberts,45,Male,Monthly,2024-08-07,2025-12-15,17,8,0
CUST00267,Betty Davis,34,Male,Monthly,2023-12-20,2025-12-18,18,8,0
CUST00268,Barbara Patel,28,Female,Yearly,2024-10-16,2026-01-11,18,6,0
CUST00269,Stephen Wright,29,Male,Monthly,2023-11-19,2025-12-06,15,7,0
CUST00270,Daniel Sharma,28,Male,Monthly,2024-02-16,2025-12-31,28,5,0
CUST00271,Rahul Young,31,Male,Quarterly,2025-01-25,2025-12-11,14,9,0
CUST00272,Thomas Flores,36,Female,Monthly,2025-03-26,2025-12-16,26,5,0
CUST00273,Angela Clark,36,Female,Yearly,2023-06-01,2025-09-11,6,4,1
CUST00274,Samuel Jones,45,Male,Quarterly,2024-12-06,2025-07-13,2,6,1
CUST00275,Samantha Nguyen,59,Male,Yearly,2025-06-05,2026-01-12,15,6,0
CUST00276,Pooja Davis,49,Female,Monthly,2023-11-28,2025-10-05,8,3,1
CUST00277,Brian King,29,Female,Yearly,2024-05-28,2025-12-11,15,5,0
CUST00278,Emily Rodriguez,23,Female,Quarterly,2023-07-11,2026-01-05,9,6,0
CUST00279,Pamela Nguyen,33,Male,Quarterly,2024-11-22,2025-12-10,19,9,0
CUST00280,Jennifer Gupta,23,Female,Monthly,2024-06-26,2025-12-10,25,6,0
CUST00281,Rebecca Flores,33,Female,Monthly,2024-08-16,2025-12-27,23,5,0
CUST00282,Kathleen Thomas,38,Female,Quarterly,2024-09-01,2026-01-12,19,8,0
CUST00283,Christopher Lewis,37,Male,Monthly,2024-11-27,2025-12-26,37,6,0
CUST00284,Divya Rivera,28,Male,Yearly,2024-12-08,2026-01-07,13,6,0
CUST00285,Ruth White,26,Female,Monthly,2024-05-10,2025-12-29,27,9,0
CUST00286,Laura Thomas,27,Male,Monthly,2025-02-25,2025-12-20,11,8,0
CUST00287,Ashley Verma,27,Female,Yearly,2024-10-02,2026-01-05,23,7,0
CUST00288,Amy Allen,17,Male,Yearly,2025-10-15,2025-10-24,8,7,1
CUST00289,Ryan Thomas,27,Male,Monthly,2023-04-14,2025-07-02,2,4,1
CUST00290,Kavita Singh,37,Female,Monthly,2023-01-17,2025-12-19,23,10,0
CUST00291,Sarah Reddy,32,Male,Monthly,2025-04-05,2025-08-21,1,1,1
CUST00292,Michael Torres,25,Female,Monthly,2024-08-14,2025-07-25,3,7,1
CUST00293,Laura Carter,28,Female,Yearly,2023-09-01,2025-11-07,4,4,1
CUST00294,Ronald White,47,Female,Monthly,2025-01-18,2026-01-03,38,6,0
CUST00295,Nicole Allen,28,Male,Monthly,2023-03-21,2025-09-07,7,5,1
CUST00296,Anjali Walker,54,Female,Monthly,2025-11-21,2025-11-27,5,3,1
CUST00297,Christopher Sanchez,40,Other,Quarterly,2024-09-04,2025-12-14,26,8,0
CUST00298,Pooja Allen,39,Female,Quarterly,2024-09-05,2026-01-14,26,9,0
CUST00299,Melissa Perez,49,Female,Yearly,2024-09-22,2025-12-06,23,7,0
CUST00300,Patricia Hill,35,Male,Yearly,2024-04-11,2025-12-09,27,6,0
CUST00301,Kathleen Hernandez,38,Female,Quarterly,2025-02-17,2025-06-10,2,4,1
CUST00302,Ashley Williams,48,Female,Quarterly,2024-01-26,2025-09-12,4,4,1
CUST00303,Rebecca Martinez,19,Male,Monthly,2025-10-24,2025-12-16,23,8,0
CUST00304,Aditya Kumar,57,Female,Monthly,2023-10-10,2025-12-11,15,7,0
CUST00305,Dorothy Nelson,36,Male,Monthly,2023-12-21,2025-12-12,30,7,0
CUST00306,Carol Wright,37,Male,Quarterly,2024-06-25,2026-01-03,22,7,0
CUST00307,Ashley Moore,29,Female,Monthly,2024-09-01,2026-01-02,19,8,0
CUST00308,Alexander Rivera,22,Female,Monthly,2024-07-14,2025-07-08,4,2,1
CUST00309,Frank Wright,47,Male,Yearly,2024-12-07,2026-01-06,5,6,0
CUST00310,Donna Williams,38,Male,Quarterly,2024-12-10,2025-12-30,30,7,0
CUST00311,Janet Walker,27,Male,Yearly,2024-07-09,2025-12-29,33,5,0
CUST00312,Sarah Miller,16,Female,Quarterly,2024-05-11,2025-07-19,5,3,1
